Year,Name,Position,Age,Club Name,League Name,Matches Played,Goals,Assists,Points
2022,Ricardo Horta,Left Winger,27,SC Braga,Liga Portugal,30,14,8,22
2022,Jonas Hofmann,Right Winger,29,Bor. M'gladbach,Bundesliga,31,12,10,22
2022,Habib Diallo,Centre-Forward,27,R. Strasbourg,Ligue 1,37,20,1,21
2022,Terem Moffi,Centre-Forward,23,FC Lorient,Ligue 1,34,18,3,21
2022,Niclas Füllkrug,Centre-Forward,29,Werder Bremen,Bundesliga,28,16,5,21
2022,Ollie Watkins,Centre-Forward,26,Aston Villa,Premier League,37,15,6,21
2022,Ademola Lookman,Second Striker,24,Atalanta BC,Serie A,31,13,8,21
2022,Leandro Trossard,Left Winger,27,Arsenal,Premier League,36,8,13,21
2022,Fran Navarro,Centre-Forward,24,Gil Vicente,Liga Portugal,34,17,3,20
2022,Gabriel Martinelli,Left Winger,21,Arsenal,Premier League,36,15,5,20
2022,Amine Gouiri,Centre-Forward,22,Stade Rennais,Ligue 1,36,15,5,20
2022,Vincenzo Grifo,Left Winger,29,SC Freiburg,Bundesliga,33,15,5,20
2022,Serge Gnabry,Right Winger,26,Bayern Munich,Bundesliga,34,14,6,20
2022,Vinicius Junior,Left Winger,21,Real Madrid,LaLiga,33,10,10,20
2022,Marcus Thuram,Centre-Forward,24,Bor. M'gladbach,Bundesliga,30,13,6,19
2022,Paulo Dybala,Second Striker,28,AS Roma,Serie A,25,12,7,19
2022,Domenico Berardi,Right Winger,27,Sassuolo,Serie A,26,12,7,19
2023,Serhou Guirassy,Centre-Forward,27,VfB Stuttgart,Bundesliga,5,10,1,11
2023,Erling Haaland,Centre-Forward,23,Man City,Premier League,5,7,1,8
2023,Kylian Mbappé,Centre-Forward,24,Paris SG,Ligue 1,4,7,0,7
2023,Lautaro Martínez,Centre-Forward,26,Inter,Serie A,4,5,2,7
2023,Róbert Bozeník,Centre-Forward,23,Boavista,Liga Portugal,5,5,2,7
2023,Xavi Simons,Right Winger,20,RB Leipzig,Bundesliga,4,3,4,7
2023,Jude Bellingham,Central Midfield,20,Real Madrid,LaLiga,5,5,1,6
2023,Jonas Wind,Centre-Forward,24,VfL Wolfsburg,Bundesliga,4,5,1,6
2023,Victor Boniface,Centre-Forward,22,B. Leverkusen,Bundesliga,4,4,2,6
2023,Ángel Di María,Right Winger,35,Benfica,Liga Portugal,5,4,2,6
2023,Olivier Giroud,Centre-Forward,36,AC Milan,Serie A,4,4,2,6
2023,Robert Lewandowski,Centre-Forward,35,Barcelona,LaLiga,5,3,3,6
2023,Rafa,Left Winger,30,Benfica,Liga Portugal,5,3,3,6
2023,Takumi Minamino,Left Winger,28,Monaco,Ligue 1,6,3,3,6
2023,Mohamed Salah,Right Winger,31,Liverpool,Premier League,5,2,4,6
2023,Julián Álvarez,Centre-Forward,23,Man City,Premier League,5,2,4,6
2023,Harry Kane,Centre-Forward,30,Bayern Munich,Bundesliga,4,4,1,5
2023,Dušan Vlahović,Centre-Forward,23,Juventus,Serie A,4,4,1,5
2023,Taiwo Awoniyi,Centre-Forward,26,Nottm Forest,Premier League,5,3,2,5
2023,Iñaki Williams,Centre-Forward,29,Athletic,LaLiga,6,3,2,5
2023,Terem Moffi,Centre-Forward,24,OGC Nice,Ligue 1,6,3,2,5
2023,Teddy Teuma,Central Midfield,29,Stade Reims,Ligue 1,5,3,2,5
2023,Romain Del Castillo,Right Winger,27,Stade Brestois,Ligue 1,5,3,2,5
2023,James Ward-Prowse,Central Midfield,28,West Ham,Premier League,4,2,3,5
2023,Marcus Thuram,Centre-Forward,26,Inter,Serie A,4,2,3,5
2023,Chris Führich,Left Winger,25,VfB Stuttgart,Bundesliga,5,2,3,5
2023,Jan-Niklas Beste,Left Winger,24,Heidenheim,Bundesliga,3,2,3,5
2023,Maxime Dominguez,Attacking Midfield,27,Gil Vicente,Liga Portugal,5,2,3,5
2023,Bryan Mbeumo,Right Winger,24,Brentford,Premier League,5,4,0,4
2023,Evan Ferguson,Centre-Forward,18,Brighton,Premier League,5,4,0,4
2023,Wissam Ben Yedder,Centre-Forward,33,Monaco,Ligue 1,6,4,0,4
2023,Odsonne Edouard,Centre-Forward,25,Crystal Palace,Premier League,5,4,0,4
2023,Paulinho,Centre-Forward,30,Sporting CP,Liga Portugal,5,4,0,4
2023,Mostafa Mohamed,Centre-Forward,25,FC Nantes,Ligue 1,5,4,0,4
2023,Kevin Behrens,Centre-Forward,32,Union Berlin,Bundesliga,4,4,0,4
2023,Jarrod Bowen,Right Winger,26,West Ham,Premier League,5,3,1,4
2023,Loïs Openda,Centre-Forward,23,RB Leipzig,Bundesliga,4,3,1,4
2023,Takefusa Kubo,Right Winger,22,Real Sociedad,LaLiga,5,3,1,4
2023,Viktor Gyökeres,Centre-Forward,25,Sporting CP,Liga Portugal,5,3,1,4
2023,Tomas Cvancara,Centre-Forward,23,Bor. M'gladbach,Bundesliga,4,3,1,4
2023,Hugo Duro,Centre-Forward,23,Valencia,LaLiga,5,3,1,4
2023,Maximilian Beier,Centre-Forward,20,TSG Hoffenheim,Bundesliga,4,3,1,4
2023,João Marques,Attacking Midfield,21,Estoril Praia,Liga Portugal,5,3,1,4
2023,Bukayo Saka,Right Winger,22,Arsenal,Premier League,5,2,2,4
2023,Rafael Leão,Left Winger,24,AC Milan,Serie A,4,2,2,4
2023,James Maddison,Attacking Midfield,26,Tottenham,Premier League,5,2,2,4
2023,Moussa Diaby,Right Winger,24,Aston Villa,Premier League,5,2,2,4
2023,Jean-Ricner Bellegarde,Central Midfield,25,Wolves,Premier League,4,2,2,4
2023,Andrea Belotti,Centre-Forward,29,AS Roma,Serie A,4,2,2,4
2023,Tim Kleindienst,Centre-Forward,28,Heidenheim,Bundesliga,4,2,2,4
