Year,Name,Position,Age,Club Name,League Name,Matches Played,Goals,Assists,Points
1977,Paolo Rossi,Centre-Forward,20,Vicenza,Serie C - A,30,24,0,24
1977,Bernard Lacombe,Centre-Forward,24,Olympique Lyon,Ligue 1,33,24,0,24
1977,Santillana,Centre-Forward,24,Real Madrid,LaLiga,34,24,0,24
1977,Dieter Müller,Centre-Forward,23,1.FC Köln,Bundesliga,33,24,0,24
1977,Klaus Toppmöller,Centre-Forward,25,1.FC K'lautern,2. Bundesliga,34,21,1,22
1977,Jupp Heynckes,Centre-Forward,32,Bor. M'gladbach,Bundesliga,21,18,4,22
1977,Boubacar Sarr,Centre-Forward,25,Marseille,Ligue 1,38,21,0,21
1977,Albert Gemmrich,Left Winger,22,R. Strasbourg,Ligue 1,38,21,0,21
1977,Manfred Burgsmüller,Attacking Midfield,27,Bor. Dortmund,Bundesliga,34,20,0,20
1977,Klaus Fischer,Centre-Forward,27,FC Schalke 04,2. Bundesliga,32,20,0,20
1977,Marc Berdoll,Centre-Forward,24,Marseille,Ligue 1,37,20,0,20
1977,Heinz Flohe,Attacking Midfield,29,1.FC Köln,Bundesliga,34,14,5,19
1977,Christian Dalger,Right Winger,27,Monaco,Ligue 1,36,18,0,18
1977,Jesús Satrustegui,Centre-Forward,23,Real Sociedad,LaLiga,32,18,0,18
1977,Johnny Rep,Right Winger,25,SEC Bastia,Ligue 2,30,18,0,18
1977,Michel Platini,Attacking Midfield,22,AS Nancy,Championnat National,36,18,0,18
1977,Allan Simonsen,Second Striker,24,Bor. M'gladbach,Bundesliga,31,17,1,18
1977,Karl-Heinz Granitza,Centre-Forward,25,Hertha BSC,2. Bundesliga,31,17,0,17
1977,Franz Gerber,Centre-Forward,23,FC St. Pauli,2. Bundesliga,32,16,1,17
1977,Uli Hoeneß,Right Winger,25,Bayern Munich,Bundesliga,30,11,6,17
1978,Hans Krankl,Centre-Forward,25,Barcelona,LaLiga,30,29,0,29
1978,Carlos Bianchi,Centre-Forward,29,Paris SG,Ligue 1,36,27,0,27
1978,Klaus Allofs,Centre-Forward,21,F. Düsseldorf,2. Bundesliga,33,22,2,24
1978,Karl-Heinz Rummenigge,Centre-Forward,22,Bayern Munich,Bundesliga,34,14,10,24
1978,Quini,Centre-Forward,28,Sporting Gijón,LaLiga2,33,23,0,23
1978,Delio Onnis,Centre-Forward,30,Monaco,Ligue 1,34,22,0,22
1978,Éric Pécout,Centre-Forward,22,FC Nantes,Ligue 1,30,22,0,22
1978,Klaus Fischer,Centre-Forward,28,FC Schalke 04,2. Bundesliga,34,21,1,22
1978,Gilbert Marguerite,Attack,24,Nîmes Olympique,Championnat National,36,21,0,21
1978,Dominique Rocheteau,Centre-Forward,23,Saint-Étienne,Ligue 2,37,21,0,21
1978,Pierre Pleimelding,Centre-Forward,25,LOSC Lille,Ligue 1,38,21,0,21
1978,Jesús Satrustegui,Centre-Forward,24,Real Sociedad,LaLiga,30,20,0,20
1978,Bruno Giordano,Centre-Forward,21,Lazio,Serie A,29,19,0,19
1978,Kevin Keegan,Centre-Forward,27,Hamburger SV,2. Bundesliga,34,17,2,19
1978,Rüdiger Abramczik,Right Winger,22,FC Schalke 04,2. Bundesliga,34,18,0,18
1978,Santillana,Centre-Forward,25,Real Madrid,LaLiga,33,18,0,18
1978,Albert Gemmrich,Left Winger,23,R. Strasbourg,Ligue 1,38,17,1,18
1978,Klaus Toppmöller,Centre-Forward,26,1.FC K'lautern,2. Bundesliga,30,17,0,17
1978,Nenad Bjekovic,Second Striker,30,OGC Nice,Ligue 1,28,17,0,17
1978,Dieter Hoeneß,Centre-Forward,25,VfB Stuttgart,Bundesliga,32,16,1,17
1978,Zvonko Ivezić,Attack,29,FC Sochaux,Championnat National,26,15,2,17
1978,Paul Breitner,Left-Back,26,Bayern Munich,Bundesliga,33,12,5,17
1978,Roberto Cabral,Attack,26,LOSC Lille,Ligue 1,38,16,0,16
1978,Zarko Olarevic,Attack,27,LOSC Lille,Ligue 1,38,15,1,16
1978,Hansi Müller,Central Midfield,20,VfB Stuttgart,Bundesliga,30,13,3,16
1979,Karl-Heinz Rummenigge,Centre-Forward,23,Bayern Munich,Bundesliga,34,26,0,26
1979,Quini,Centre-Forward,29,Sporting Gijón,LaLiga2,34,24,0,24
1979,Santillana,Centre-Forward,26,Real Madrid,LaLiga,33,23,0,23
1979,Mario Kempes,Centre-Forward,24,Valencia,LaLiga,32,22,0,22
1979,Erwin Kostedde,Centre-Forward,33,Stade Lavallois,Ligue 2,34,21,0,21
1979,Delio Onnis,Centre-Forward,31,Monaco,Ligue 1,30,21,0,21
1979,Dieter Müller,Centre-Forward,25,1.FC Köln,Bundesliga,34,21,0,21
1979,Horst Hrubesch,Centre-Forward,28,Hamburger SV,2. Bundesliga,34,21,0,21
1979,Manfred Burgsmüller,Attacking Midfield,29,Bor. Dortmund,Bundesliga,34,20,0,20
1979,Harald Nickel,Centre-Forward,25,Bor. M'gladbach,Bundesliga,33,20,0,20
1979,Pierre Pleimelding,Centre-Forward,26,LOSC Lille,Ligue 1,38,18,1,19
1979,Drago Vabec,Left Winger,28,St. Brest,Ligue 1,38,17,1,18
1979,Roberto Bettega,Centre-Forward,28,Juventus,Serie A,28,16,2,18
1979,Reiner Geye,Right Winger,29,1.FC K'lautern,2. Bundesliga,33,17,0,17
1979,Jesús Satrustegui,Centre-Forward,25,Real Sociedad,LaLiga,32,17,0,17
1979,Michel Platini,Attacking Midfield,24,Saint-Étienne,Ligue 2,33,16,0,16
1979,Dieter Hoeneß,Centre-Forward,26,Bayern Munich,Bundesliga,32,16,0,16
1979,Klaus Allofs,Centre-Forward,22,F. Düsseldorf,2. Bundesliga,28,16,0,16
1979,Alessandro Altobelli,Centre-Forward,23,Inter,Serie A,29,15,1,16
1979,Johnny Rep,Right Winger,27,Saint-Étienne,Ligue 2,31,15,0,15
1979,Bernard Genghini,Attacking Midfield,21,FC Sochaux,Championnat National,38,15,0,15
1979,Nenad Bjekovic,Second Striker,31,OGC Nice,Ligue 1,35,15,0,15
1979,Friedhelm Funkel,Attacking Midfield,25,Bay. Uerdingen,Oberliga Niederrhein,34,14,1,15
1979,Yves Ehrlacher,Attacking Midfield,24,Lens,Ligue 1,37,14,0,14
1979,Yannick Stopyra,Centre-Forward,18,FC Sochaux,Championnat National,34,14,0,14
1979,Hansi Müller,Central Midfield,21,VfB Stuttgart,Bundesliga,32,14,0,14
1979,Paolo Rossi,Centre-Forward,22,Perugia,Serie C - B,28,13,1,14
1979,Victor Trossero,Centre-Forward,25,FC Nantes,Ligue 1,32,13,1,14
1979,Roberto Pruzzo,Centre-Forward,24,AS Roma,Serie A,28,12,2,14
1979,Francis Piasecki,Attacking Midfield,27,R. Strasbourg,Ligue 1,37,8,6,14
1979,Éric Pécout,Centre-Forward,23,FC Nantes,Ligue 1,34,13,0,13
1979,Jean-François Beltramini,Centre-Forward,31,Paris SG,Ligue 1,29,13,0,13
1979,Hans-Joachim Abel,Centre-Forward,27,VfL Bochum,Bundesliga,34,13,0,13
1979,Jacques Zimako,Left Winger,27,Saint-Étienne,Ligue 2,37,12,1,13
1979,Boubacar Sarr,Centre-Forward,27,Paris SG,Ligue 1,22,12,1,13
1979,Werner Dreßel,Centre-Forward,20,Werder Bremen,Bundesliga,33,12,1,13
1979,Georg Volkert,Left Winger,33,VfB Stuttgart,Bundesliga,27,12,0,12
1979,Benny Wendt,Centre-Forward,28,1.FC K'lautern,2. Bundesliga,29,12,0,12
1979,Francesco Graziani,Centre-Forward,26,Torino,Serie A,30,12,0,12
1979,Nambatingue Toko,Centre-Forward,26,US Valenciennes,Ligue 2,35,12,0,12
1979,Gilbert Marguerite,Attack,25,Nîmes Olympique,Championnat National,37,12,0,12
1979,Albert Gemmrich,Left Winger,24,G. Bordeaux,Ligue 2,38,12,0,12
1979,Alain Giresse,Attacking Midfield,26,G. Bordeaux,Ligue 2,37,12,0,12
1979,Bum-kun Cha,Centre-Forward,26,E. Frankfurt,Bundesliga,31,12,0,12
1979,Franco Selvaggi,Centre-Forward,26,Cagliari Calcio,Serie A,30,12,0,12
1979,Uwe Reinders,Centre-Forward,24,Werder Bremen,Bundesliga,34,11,1,12
1979,Bernd Hölzenbein,Attacking Midfield,33,E. Frankfurt,Bundesliga,29,11,0,11
1979,Hans-Günter Neues,Centre-Back,28,1.FC K'lautern,2. Bundesliga,32,11,0,11
1979,Walter Kelsch,Right Winger,23,VfB Stuttgart,Bundesliga,30,11,0,11
1979,Paco Rubio,Attacking Midfield,25,AS Nancy,Championnat National,37,11,0,11
1980,Karl-Heinz Rummenigge,Centre-Forward,24,Bayern Munich,Bundesliga,34,29,1,30
1980,Manfred Burgsmüller,Attacking Midfield,30,Bor. Dortmund,Bundesliga,33,27,1,28
1980,Delio Onnis,Centre-Forward,32,FC Tours,National 3 - Grp. C,38,24,0,24
1980,Uwe Krause,Centre-Forward,24,Stade Lavallois,Ligue 2,38,23,0,23
1980,Sima Nikolic,Attack,25,Olympique Lyon,Ligue 1,34,21,0,21
1980,Paul Breitner,Left-Back,28,Bayern Munich,Bundesliga,30,17,4,21
1980,Quini,Centre-Forward,30,Barcelona,LaLiga,30,20,0,20
1980,Michel Platini,Attacking Midfield,25,Saint-Étienne,Ligue 2,35,20,0,20
1980,Klaus Allofs,Centre-Forward,23,F. Düsseldorf,2. Bundesliga,33,19,0,19
1980,Juanito,Right Winger,25,Real Madrid,LaLiga,33,19,0,19
1980,Victor Trossero,Centre-Forward,26,Monaco,Ligue 1,37,18,0,18
1980,Roberto Pruzzo,Centre-Forward,25,AS Roma,Serie A,28,18,0,18
1980,Bernard Lacombe,Centre-Forward,27,G. Bordeaux,Ligue 2,34,18,0,18
1980,Horst Hrubesch,Centre-Forward,29,Hamburger SV,2. Bundesliga,29,17,1,18
1980,Dieter Müller,Centre-Forward,26,1.FC Köln,Bundesliga,34,17,0,17
1980,Kurt Pinkall,Centre-Forward,25,VfL Bochum,Bundesliga,32,17,0,17
1980,Arne Ökland,Centre-Forward,26,B. Leverkusen,Bundesliga,34,16,0,16
1980,Andrzej Szarmach,Centre-Forward,29,AJ Auxerre,Ligue 2,20,16,0,16
1980,Fernando Morena,Centre-Forward,28,Valencia,LaLiga,31,16,0,16
1980,Gerd-Volker Schock,Centre-Forward,30,Arm. Bielefeld,3. Liga,32,16,0,16
1980,Jesús Satrustegui,Centre-Forward,26,Real Sociedad,LaLiga,28,16,0,16
1980,Wilfried Hannes,Centre-Back,23,Bor. M'gladbach,Bundesliga,33,16,0,16
1980,Dominique Rocheteau,Centre-Forward,25,Paris SG,Ligue 1,37,16,0,16
1980,Francis Piasecki,Attacking Midfield,28,R. Strasbourg,Ligue 1,38,11,5,16
1980,Enzo Ferrero,Centre-Forward,27,Sporting Gijón,LaLiga2,30,15,0,15
1980,Olivier Rouyer,Right Winger,24,AS Nancy,Championnat National,37,15,0,15
1980,Bernard Zénier,Centre-Forward,22,AS Nancy,Championnat National,38,15,0,15
1980,Vicky Peretz,Centre-Forward,27,R. Strasbourg,Ligue 1,37,14,1,15
1980,Albert Gemmrich,Left Winger,25,G. Bordeaux,Ligue 2,33,14,0,14
1980,Viorel Nastase,Centre-Forward,26,1860 Munich,3. Liga,23,14,0,14
1980,Johnny Rep,Right Winger,28,Saint-Étienne,Ligue 2,32,14,0,14
1980,Stephan Groß,Right-Back,26,Karlsruher SC,2. Bundesliga,34,14,0,14
1980,Bernard Genghini,Attacking Midfield,22,FC Sochaux,Championnat National,36,13,1,14
1980,Friedhelm Funkel,Attacking Midfield,26,1.FC K'lautern,2. Bundesliga,31,13,0,13
1980,Abel,Centre-Forward,27,Sporting Gijón,LaLiga2,33,13,0,13
1980,Santillana,Centre-Forward,27,Real Madrid,LaLiga,31,13,0,13
1980,Massimo Palanca,Centre-Forward,26,Catanzaro,Serie B,28,13,0,13
1980,Pierre Pleimelding,Centre-Forward,27,LOSC Lille,Ligue 1,32,13,0,13
1980,Ilyas Tüfekci,Attacking Midfield,20,VfB Stuttgart,Bundesliga,24,13,0,13
1980,Louis Marcialis,Attacking Midfield,19,SEC Bastia,Ligue 2,32,12,1,13
1980,Laurent Roussey,Centre-Forward,18,Saint-Étienne,Ligue 2,36,12,0,12
1980,Abdelkarim Krimau,Centre-Forward,25,LOSC Lille,Ligue 1,35,12,0,12
1980,Harald Nickel,Centre-Forward,26,Bor. M'gladbach,Bundesliga,32,12,0,12
1980,Philippe Piette,Midfield,21,FC Metz,Ligue 1,32,12,0,12
1980,Alessandro Altobelli,Centre-Forward,24,Inter,Serie A,29,12,0,12
1980,Francisco García Hernández,Central Midfield,25,Real Madrid,LaLiga,24,12,0,12
1980,Reiner Geye,Right Winger,30,1.FC K'lautern,2. Bundesliga,34,11,1,12
1980,Pascal Raspollini,Left Winger,25,FC Metz,Ligue 1,26,10,2,12
1980,Raul Nogues,Attacking Midfield,28,OGC Nice,Ligue 1,38,10,2,12
1980,Rüdiger Abramczik,Right Winger,24,Bor. Dortmund,Bundesliga,33,9,3,12
1981,Delio Onnis,Centre-Forward,33,FC Tours,National 3 - Grp. C,38,29,0,29
1981,Karl-Heinz Rummenigge,Centre-Forward,25,Bayern Munich,Bundesliga,32,14,14,28
1981,Quini,Centre-Forward,31,Barcelona,LaLiga,32,27,0,27
1981,Horst Hrubesch,Centre-Forward,30,Hamburger SV,2. Bundesliga,32,27,0,27
1981,Paul Breitner,Left-Back,29,Bayern Munich,Bundesliga,29,18,7,25
1981,Andrzej Szarmach,Centre-Forward,30,AJ Auxerre,Ligue 2,33,24,0,24
1981,Manfred Burgsmüller,Attacking Midfield,31,Bor. Dortmund,Bundesliga,34,22,0,22
1981,Michel Platini,Attacking Midfield,26,Saint-Étienne,Ligue 2,36,22,0,22
1981,Dieter Hoeneß,Centre-Forward,28,Bayern Munich,Bundesliga,33,21,1,22
1981,Teitur Thórdarson,Attack,29,Lens,Ligue 1,38,19,0,19
1981,Uwe Krause,Centre-Forward,25,Stade Lavallois,Ligue 2,35,18,0,18
1981,Drago Vabec,Left Winger,30,St. Brest,Ligue 1,26,18,0,18
1981,Uwe Reinders,Centre-Forward,26,Werder Bremen,Bundesliga,34,18,0,18
1981,Ronald Worm,Centre-Forward,27,E. Braunschweig,2. Bundesliga,33,17,1,18
1981,Bernard Lacombe,Centre-Forward,28,G. Bordeaux,Ligue 2,33,17,0,17
1981,Peter Cestonaro,Centre-Forward,27,Darmstadt 98,Bundesliga,33,16,0,16
1981,Roberto Pruzzo,Centre-Forward,26,AS Roma,Serie A,26,15,0,15
1981,Tony Woodcock,Left Winger,25,1.FC Köln,Bundesliga,32,15,0,15
1981,Norbert Meier,Attacking Midfield,22,Werder Bremen,Bundesliga,33,15,0,15
1981,Yannick Stopyra,Centre-Forward,20,FC Sochaux,Championnat National,38,15,0,15
1981,Pierre Littbarski,Attacking Midfield,21,1.FC Köln,Bundesliga,33,15,0,15
1981,Ralf Edström,Centre-Forward,28,Monaco,Ligue 1,35,15,0,15
1981,Kurt Pinkall,Centre-Forward,26,Bor. M'gladbach,Bundesliga,30,15,0,15
1981,Werner Heck,Centre-Forward,26,1.FC Nuremberg,2. Bundesliga,33,14,1,15
1981,Jimmy Hartwig,Defensive Midfield,26,Hamburger SV,2. Bundesliga,31,14,0,14
1981,Dieter Müller,Centre-Forward,27,VfB Stuttgart,Bundesliga,30,14,0,14
1981,Frank Mill,Centre-Forward,22,Bor. M'gladbach,Bundesliga,32,14,0,14
1981,Arne Ökland,Centre-Forward,27,B. Leverkusen,Bundesliga,33,14,0,14
1981,Alain Giresse,Attacking Midfield,28,G. Bordeaux,Ligue 2,34,14,0,14
1981,Pello Uralde,Right Winger,23,Real Sociedad,LaLiga,28,14,0,14
1981,Vicky Peretz,Centre-Forward,28,R. Strasbourg,Ligue 1,34,13,1,14
1981,Lars Bastrup,Centre-Forward,25,Hamburger SV,2. Bundesliga,34,13,1,14
1981,Thomas Allofs,Centre-Forward,21,F. Düsseldorf,2. Bundesliga,33,13,1,14
1981,Bum-kun Cha,Centre-Forward,28,E. Frankfurt,Bundesliga,31,11,3,14
1981,Wolfgang Patzke,Left Midfield,22,VfL Bochum,Bundesliga,28,13,0,13
1981,Santi Llorente,Right Winger,25,Sevilla FC,LaLiga,31,13,0,13
1981,Bodo Mattern,Centre-Forward,23,Darmstadt 98,Bundesliga,24,13,0,13
1981,Engin Verel,Attacking Midfield,24,LOSC Lille,Ligue 1,31,13,0,13
1981,José Touré,Attacking Midfield,20,FC Nantes,Ligue 1,28,13,0,13
1981,Jean-François Larios,Attacking Midfield,24,Saint-Étienne,Ligue 2,37,13,0,13
1981,Hans-Peter Briegel,Centre-Back,25,1.FC K'lautern,2. Bundesliga,32,13,0,13
1981,Manu Sarabia,Centre-Forward,24,Athletic,LaLiga,31,13,0,13
1981,Sima Nikolic,Attack,26,Olympique Lyon,Ligue 1,35,13,0,13
1981,Frank Arnesen,Attacking Midfield,24,Valencia,LaLiga,32,13,0,13
1981,Jesús Satrustegui,Centre-Forward,27,Real Sociedad,LaLiga,33,13,0,13
1981,Bernard Zénier,Centre-Forward,23,AS Nancy,Championnat National,33,13,0,13
1981,Gerhard Bold,Sweeper,26,Karlsruher SC,2. Bundesliga,34,13,0,13
1981,Bruno Bellone,Left Winger,19,Monaco,Ligue 1,30,12,0,12
1981,Bernard Genghini,Attacking Midfield,23,FC Sochaux,Championnat National,37,12,0,12
1981,Didier Six,Left Winger,26,VfB Stuttgart,Bundesliga,30,12,0,12
1982,Karl-Heinz Rummenigge,Centre-Forward,26,Bayern Munich,Bundesliga,34,20,9,29
1982,Dani,Right Winger,31,Athletic,LaLiga,32,18,10,28
1982,Vahid Halilhodzic,Centre-Forward,29,FC Nantes,Ligue 1,36,27,0,27
1982,Manu Sarabia,Centre-Forward,25,Athletic,LaLiga,33,16,10,26
1982,Andrzej Szarmach,Centre-Forward,31,AJ Auxerre,Ligue 2,34,24,0,24
1982,Michel Platini,Attacking Midfield,27,Juventus,Serie A,29,16,8,24
1982,Rudi Völler,Centre-Forward,22,Werder Bremen,Bundesliga,31,23,0,23
1982,Abdelkarim Krimau,Centre-Forward,27,FC Metz,Ligue 1,36,23,0,23
1982,Atli Edvaldsson,Centre-Forward,25,F. Düsseldorf,2. Bundesliga,34,21,0,21
1982,Karl Allgöwer,Central Midfield,25,VfB Stuttgart,Bundesliga,33,21,0,21
1982,Diego Maradona,Attacking Midfield,21,Barcelona,LaLiga,20,11,10,21
1982,Bernard Lacombe,Centre-Forward,29,G. Bordeaux,Ligue 2,33,20,0,20
1982,Jean-François Beltramini,Centre-Forward,34,Rouen,Championnat National,37,19,0,19
1982,Horst Hrubesch,Centre-Forward,31,Hamburger SV,2. Bundesliga,30,18,1,19
1982,Dieter Hoeneß,Centre-Forward,29,Bayern Munich,Bundesliga,34,17,2,19
1982,Manfred Burgsmüller,Attacking Midfield,32,Bor. Dortmund,Bundesliga,32,17,1,18
1982,Dieter Müller,Centre-Forward,28,G. Bordeaux,Ligue 2,29,17,0,17
1982,Toni Kurbos,Centre-Forward,21,FC Metz,Ligue 1,35,17,0,17
1982,Pierre Littbarski,Attacking Midfield,22,1.FC Köln,Bundesliga,34,16,1,17
1982,Yannick Stopyra,Centre-Forward,21,FC Sochaux,Championnat National,36,16,1,17
1982,Rüdiger Abramczik,Right Winger,26,Bor. Dortmund,Bundesliga,27,16,0,16
1982,Paul Breitner,Left-Back,30,Bayern Munich,Bundesliga,22,9,7,16
1982,Alessandro Altobelli,Centre-Forward,26,Inter,Serie A,29,15,0,15
1982,Domenico Penzo,Centre-Forward,28,Hellas Verona,Serie A,29,15,0,15
1982,Hugo Sánchez,Centre-Forward,23,Atlético Madrid,LaLiga,31,15,0,15
1983,Domenico Penzo,Centre-Forward,28,Hellas Verona,Serie A,29,15,0,15
1983,Jürgen Milewski,Centre-Forward,24,Hamburger SV,2. Bundesliga,31,14,1,15
1983,Uwe Krause,Centre-Forward,26,Stade Lavallois,Ligue 2,30,14,0,14
1983,Jean-Marc Ferreri,Attacking Midfield,19,AJ Auxerre,Ligue 2,32,14,0,14
1983,Peter Reichert,Centre-Forward,20,VfB Stuttgart,Bundesliga,34,14,0,14
1983,Roger Milla,Centre-Forward,30,SEC Bastia,Ligue 2,29,14,0,14
1983,Thierry Meyer,Attack,24,AS Nancy,Championnat National,30,14,0,14
1983,Mario Kempes,Centre-Forward,27,Valencia,LaLiga,27,13,1,14
1983,Arne Ökland,Centre-Forward,28,B. Leverkusen,Bundesliga,34,13,1,14
1983,José Touré,Attacking Midfield,21,FC Nantes,Ligue 1,37,13,0,13
1983,Daniel Xuereb,Centre-Forward,22,Lens,Ligue 1,38,13,0,13
1983,Salah Assad,Centre-Forward,23,Mulhouse,France,26,13,0,13
1983,Rubén Umpiérrez,Attacking Midfield,25,AS Nancy,Championnat National,37,13,0,13
1983,Kees Kist,Centre-Forward,29,Paris SG,Ligue 1,34,12,1,13
1983,Klaus Allofs,Centre-Forward,25,1.FC Köln,Bundesliga,24,12,1,13
1983,Juanito,Right Winger,27,Real Madrid,LaLiga,28,9,4,13
1983,Estanis Argote,Left Winger,25,Athletic,LaLiga,33,6,7,13
1983,Roberto Pruzzo,Centre-Forward,27,AS Roma,Serie A,27,12,0,12
1983,Alain Giresse,Attacking Midfield,29,G. Bordeaux,Ligue 2,35,12,0,12
1983,Klaus Fischer,Centre-Forward,32,1.FC Köln,Bundesliga,32,12,0,12
1983,Albert Emon,Left Winger,29,Olympique Lyon,Ligue 1,30,12,0,12
1983,Poli Rincón,Centre-Forward,25,Real Betis,LaLiga,14,11,1,12
1983,Drago Vabec,Left Winger,31,Brest Armorique,Ligue 1,27,11,1,12
1983,Paolo Rossi,Centre-Forward,25,Juventus,Serie A,22,7,5,12
1983,Dominique Rocheteau,Centre-Forward,27,Paris SG,Ligue 1,26,11,0,11
1983,Karl-Heinz Rummenigge,Centre-Forward,27,Bayern Munich,Bundesliga,29,26,13,39
1983,Michel Platini,Attacking Midfield,28,Juventus,Serie A,28,20,3,23
1983,Klaus Allofs,Centre-Forward,26,1.FC Köln,Bundesliga,34,20,2,22
1983,Delio Onnis,Centre-Forward,35,SC Toulon Var,National 2 - Grp. A,36,21,0,21
1983,Patrice Garande,Centre-Forward,22,AJ Auxerre,Ligue 2,37,21,0,21
1983,Zico,Attacking Midfield,30,Udinese,Serie A,24,19,2,21
1983,Andrzej Szarmach,Centre-Forward,32,AJ Auxerre,Ligue 2,35,20,0,20
1983,Philippe Anziani,Second Striker,21,FC Sochaux,Championnat National,33,19,0,19
1983,Frank Mill,Centre-Forward,24,Bor. M'gladbach,Bundesliga,32,19,0,19
1983,Christian Schreier,Attacking Midfield,24,VfL Bochum,Bundesliga,33,18,1,19
1983,Bernard Lacombe,Centre-Forward,30,G. Bordeaux,Ligue 2,35,18,0,18
1983,Rudi Völler,Centre-Forward,23,Werder Bremen,Bundesliga,31,18,0,18
1983,Bernard Genghini,Attacking Midfield,25,Monaco,Ligue 1,38,18,0,18
1983,Juanito,Right Winger,28,Real Madrid,LaLiga,31,17,1,18
1983,Michael Rummenigge,Attacking Midfield,19,Bayern Munich,Bundesliga,33,11,7,18
1983,François Brisson,Left Winger,25,Lens,Ligue 1,38,17,0,17
1983,Jorge da Silva,Centre-Forward,21,Valladolid,LaLiga2,30,17,0,17
1983,Pierre Littbarski,Attacking Midfield,23,1.FC Köln,Bundesliga,33,17,0,17
1983,Paolo Rossi,Centre-Forward,26,Juventus,Serie A,30,13,4,17
1983,Alain Giresse,Attacking Midfield,30,G. Bordeaux,Ligue 2,34,16,0,16
1983,Fritz Walter,Centre-Forward,22,Waldh. Mannheim,3. Liga,34,16,0,16
1983,Friedhelm Funkel,Attacking Midfield,29,Bay. Uerdingen,Oberliga Niederrhein,33,15,0,15
1983,Thomas Allofs,Centre-Forward,23,1.FC K'lautern,2. Bundesliga,34,15,0,15
1983,Dieter Schatzschneider,Centre-Forward,25,Hamburger SV,2. Bundesliga,31,15,0,15
1983,Toni Kurbos,Centre-Forward,22,FC Metz,Ligue 1,29,15,0,15
1983,Herbert Waas,Centre-Forward,19,B. Leverkusen,Bundesliga,25,15,0,15
1983,Uwe Bein,Attacking Midfield,22,K. Offenbach,Regionalliga Südwest,34,14,1,15
1983,Uwe Rahn,Attacking Midfield,21,Bor. M'gladbach,Bundesliga,31,14,1,15
1983,Norbert Meier,Attacking Midfield,24,Werder Bremen,Bundesliga,33,14,1,15
1983,Maurizio Iorio,Attack,24,Hellas Verona,Serie A,25,14,0,14
1983,Jean-François Beltramini,Centre-Forward,35,Rouen,Championnat National,38,14,0,14
1983,Dieter Müller,Centre-Forward,29,G. Bordeaux,Ligue 2,28,14,0,14
1983,Diego Maradona,Attacking Midfield,22,Barcelona,LaLiga,16,11,3,14
1983,Frank Neubarth,Centre-Forward,20,Werder Bremen,Bundesliga,31,13,0,13
1983,Torbjörn Nilsson,Centre-Forward,28,1.FC K'lautern,2. Bundesliga,32,13,0,13
1983,Peter Reichert,Centre-Forward,21,VfB Stuttgart,Bundesliga,31,13,0,13
1983,Vahid Halilhodzic,Centre-Forward,30,FC Nantes,Ligue 1,29,13,0,13
1983,Santillana,Centre-Forward,30,Real Madrid,LaLiga,31,13,0,13
1983,Rudi Bommer,Defensive Midfield,25,F. Düsseldorf,2. Bundesliga,34,11,2,13
1983,Luther Blissett,Centre-Forward,25,Milan,Serie A,30,5,8,13
1983,Marcos Alonso,Attacking Midfield,23,Barcelona,LaLiga,34,12,0,12
1983,Manfred Burgsmüller,Attacking Midfield,33,1.FC Nuremberg,2. Bundesliga,34,12,0,12
1983,Hugo Sánchez,Centre-Forward,24,Atlético Madrid,LaLiga,27,12,0,12
1983,Peter Loontiens,Centre-Forward,24,Bay. Uerdingen,Oberliga Niederrhein,30,12,0,12
1983,Ásgeir Sigurvinsson,Left Midfield,28,VfB Stuttgart,Bundesliga,31,12,0,12
1983,Roberto López Ufarte,Left Winger,25,Real Sociedad,LaLiga,32,12,0,12
1983,Paolo Monelli,Centre-Forward,20,Fiorentina,Serie A,29,12,0,12
1983,Günter Thiele,Centre-Forward,21,F. Düsseldorf,2. Bundesliga,25,12,0,12
1983,Karl Allgöwer,Central Midfield,26,VfB Stuttgart,Bundesliga,29,12,0,12
1983,Massimo Briaschi,Second Striker,25,Genoa,Serie A,29,12,0,12
1984,Vahid Halilhodzic,Centre-Forward,31,FC Nantes,Ligue 1,34,28,0,28
1984,Klaus Allofs,Centre-Forward,27,1.FC Köln,Bundesliga,32,26,0,26
1984,Rudi Völler,Centre-Forward,24,Werder Bremen,Bundesliga,32,25,0,25
1984,Diego Maradona,Attacking Midfield,23,Napoli,Serie A,30,14,9,23
1984,Bernard Lacombe,Centre-Forward,31,G. Bordeaux,Ligue 2,36,22,0,22
1984,Thomas Allofs,Centre-Forward,24,1.FC K'lautern,2. Bundesliga,31,19,0,19
1984,Gérard Buscher,Centre-Forward,24,Brest Armorique,Ligue 1,35,19,0,19
1984,Hugo Sánchez,Centre-Forward,25,Atlético Madrid,LaLiga,33,19,0,19
1984,Karl Allgöwer,Central Midfield,27,VfB Stuttgart,Bundesliga,32,19,0,19
1984,Michel Platini,Attacking Midfield,29,Juventus,Serie A,30,18,1,19
1984,Jorge Valdano,Centre-Forward,28,Real Madrid,LaLiga,26,17,2,19
1984,Klaus Täuber,Centre-Forward,26,FC Schalke 04,2. Bundesliga,30,18,0,18
1984,Siegfried Reich,Centre-Forward,24,Arm. Bielefeld,3. Liga,33,18,0,18
1984,Lothar Matthäus,Defensive Midfield,23,Bayern Munich,Bundesliga,33,16,2,18
1984,Klaus Fischer,Centre-Forward,34,VfL Bochum,Bundesliga,34,16,2,18
1984,Alessandro Altobelli,Centre-Forward,28,Inter,Serie A,30,17,0,17
